scenario,mode,iterations,medianUs,p95Us,changedFrames,surface,fingerprint,pair,version,phasesUs
board-64-keyed-true,replace-subtree,300,378,1364,300,terminal,251641503,1,base,"{""build"": 304, ""coverage"": 0, ""layout"": 5, ""paint"": 43, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,one-label,300,220,284,300,terminal,251641503,1,base,"{""build"": 69, ""coverage"": 0, ""layout"": 0, ""paint"": 127, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,all-labels,300,366,471,300,terminal,251641503,1,base,"{""build"": 211, ""coverage"": 0, ""layout"": 0, ""paint"": 131, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,reverse,300,406,501,300,terminal,251641503,1,base,"{""build"": 216, ""coverage"": 0, ""layout"": 23, ""paint"": 133, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-false,replace-subtree,300,2316,3194,300,terminal,251641503,1,base,"{""build"": 2088, ""coverage"": 0, ""layout"": 25, ""paint"": 149, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,one-label,300,460,679,300,terminal,251641503,1,base,"{""build"": 306, ""coverage"": 0, ""layout"": 0, ""paint"": 128, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,all-labels,300,606,888,300,terminal,251641503,1,base,"{""build"": 445, ""coverage"": 0, ""layout"": 0, ""paint"": 131, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,reverse,300,507,757,300,terminal,251641503,1,base,"{""build"": 334, ""coverage"": 0, ""layout"": 8, ""paint"": 129, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-256-keyed-true,replace-subtree,300,2583,3519,300,terminal,251641503,1,base,"{""build"": 2361, ""coverage"": 0, ""layout"": 26, ""paint"": 150, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
dashboard,mount-first-frame,300,493,681,300,terminal,,2,base,
agent,mount-first-frame,300,174,248,300,terminal,,2,base,
files,mount-first-frame,300,370,537,300,terminal,,2,base,
editor,mount-first-frame,300,176,282,300,terminal,,2,base,
finance,mount-first-frame,300,632,774,300,terminal,,2,base,
board-16-keyed-false,one-label,300,31,33,300,terminal,1359462507,2,base,"{""build"": 5, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,all-labels,300,40,42,300,terminal,1359462507,2,base,"{""build"": 14, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,reverse,300,43,51,300,terminal,1359462507,2,base,"{""build"": 15, ""coverage"": 0, ""layout"": 1, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-false,replace-subtree,300,88,109,300,terminal,1359462507,2,base,"{""build"": 46, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,one-label,300,45,53,300,terminal,1359462507,2,base,"{""build"": 19, ""coverage"": 0, ""layout"": 0, ""paint"": 6, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,all-labels,300,53,61,300,terminal,1359462507,2,base,"{""build"": 27, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,reverse,300,49,56,300,terminal,1359462507,2,base,"{""build"": 21, ""coverage"": 0, ""layout"": 0, ""paint"": 7, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
board-16-keyed-true,replace-subtree,300,98,130,300,terminal,1359462507,2,base,"{""build"": 57, ""coverage"": 0, ""layout"": 1, ""paint"": 8, ""semanticDiff"": 0, ""semanticEncode"": 0, ""semanticTree"": 0, ""semantics"": 0}"
